,bIDs,heat
531,756,10
532,757,10
533,759,10
534,760,10
535,761,10
536,762,10
537,766,10
538,767,10
539,768,10
540,769,10
541,770,10
542,771,10
543,772,10
544,774,10
545,775,10
546,776,10
547,779,10
548,780,10
549,781,10
550,783,10
551,784,10
552,785,10
553,789,10
554,790,10
555,791,10
556,792,10
557,793,10
558,794,10
559,796,10
560,797,10
561,798,10
562,800,10
563,801,10
564,803,10
565,804,10
566,807,10
567,808,10
568,809,10
569,810,10
570,811,10
571,812,10
572,813,10
573,814,10
574,815,10
575,816,10
576,817,10
577,818,10
578,819,10
579,820,10
580,821,10
581,822,10
582,823,10
583,824,10
584,825,10
585,826,10
586,827,10
587,828,10
588,830,10
589,831,10
590,832,9
591,833,10
592,834,10
593,836,10
594,838,10
595,839,10
596,840,10
597,841,10
598,843,10
599,844,10
600,849,10
601,850,10
602,854,10
603,855,10
604,857,10
605,859,10
606,860,10
607,864,10
608,865,10
609,866,10
610,868,10
611,869,10
612,870,10
613,871,10
614,872,10
615,873,10
616,875,10
617,876,10
618,877,10
619,878,10
620,880,10
621,881,10
622,883,10
623,884,10
624,885,10
625,887,10
626,888,10
627,889,10
628,890,10
629,891,10
630,892,10
631,894,10
632,895,10
633,897,10
634,898,10
635,901,10
636,902,10
637,903,10
638,906,10
639,907,10
640,908,10
641,909,10
642,910,10
643,911,10
644,912,10
645,913,10
646,914,10
647,915,10
648,916,10
649,918,10
650,919,10
651,921,10
652,923,10
653,924,10
654,926,10
655,927,10
656,928,10
657,929,10
658,931,10
659,932,10
660,933,10
661,934,10
662,935,10
663,936,10
664,937,10
665,940,10
666,943,10
667,944,10
668,946,10
669,947,10
670,948,10
671,949,10
672,954,10
673,955,10
674,957,10
675,958,10
676,960,10
677,961,10
678,962,10
679,964,10
680,965,10
681,966,10
682,967,10
683,968,10
684,969,10
685,971,10
686,973,10
687,974,10
688,975,10
689,977,10
690,978,10
691,979,10
692,981,10
693,982,10
694,983,10
695,984,10
696,985,10
697,988,10
698,992,9
699,993,10
700,994,10
701,995,10
702,997,10
703,998,10
704,999,10
705,1000,10
706,1001,10
707,1002,10
708,1003,10
709,1004,10
710,1005,10
711,1008,10
712,1010,10
713,1012,10
714,1015,10
715,1016,10
716,1018,10
717,1019,10
718,1021,10
719,1022,10
720,1024,10
721,1025,10
722,1026,10
723,1029,10
724,1030,10
725,1031,10
726,1034,10
727,1036,10
728,1037,10
729,1039,10
730,1041,10
731,1042,10
732,1043,10
733,1044,10
734,1047,10
735,1048,10
736,1050,10
737,1051,10
738,1052,10
739,1053,10
740,1055,10
741,1056,10
742,1057,10
743,1058,10
744,1059,10
745,1061,10
746,1062,10
747,1063,10
748,1064,10
749,1065,10
750,1066,10
751,1067,10
752,1069,10
753,1070,10
754,1072,10
755,1073,10
756,1075,10
757,1076,10
758,1077,10
759,1078,10
760,1083,10
761,1084,10
762,1086,10
763,1087,10
764,1089,10
765,1090,10
766,1091,10
767,1092,10
768,1093,10
769,1096,10
770,1097,10
771,1100,10
772,1101,10
773,1102,10
774,1104,10
775,1105,10
776,1107,10
777,1108,10
778,1110,10
779,1112,10
780,1113,10
