,Article_ID,Initial value at source,Heat_values
16,2624,10,"[ 5.03333354  5.03245134  5.03068775  5.01574098  5.03068775  5.03068775
  8.31319546  5.00261744  5.00261744  7.57818592  5.03068775  5.02276501
  5.02364423  5.03156941  8.37335725  5.01661804  5.03068775  5.02364423
  5.02276501  5.03068775  5.02364423  5.03068775  7.57818592  7.13658599
  5.15036321  7.06619626  5.03156941  7.89953166  5.02364423  5.03068775
 10.          5.00261744  5.02276501  5.03068775  5.          5.01574098
  5.02364423  5.02980636  7.9454818   5.          5.03156941  5.
  5.02276501  5.02980636  5.03068775  5.00261744  5.02364423  5.03068775
  5.00261744  5.00436375  5.          5.02364423  5.03068775  8.43573603
  5.00261744  5.02364423  5.01574098]"
17,4567,10,"[ 5.01661204  9.8977361   5.          5.0045209   5.00804215  5.00653251
  8.86127802  5.0095526   5.00653251 10.          5.          5.01005627
  5.00804215  5.01005627  5.00804215  5.00804215  5.0045209   5.00804215
  5.0095526   8.13784032  5.00251072  5.00251072  8.31582492  5.00804215
  5.00804215  5.01005627  5.00804215  5.00804215  5.00301313  5.00653251
  5.00653251  5.00653251  8.31582492  5.00804215  5.0045209   5.
  5.          8.68009174  5.01005627  5.0045209   5.00653251  5.00804215
  5.00804215  5.0045209   5.00251072  5.0095526   5.0095526   5.0045209
  5.00804215  5.0045209   5.0045209   5.09336182  8.68009174  5.0045209
  5.00251072  5.00251072  5.00653251  8.51480697  5.00804215  5.
  5.          5.0045209   5.00804215  5.00804215  5.00502366  5.00653251
  5.00251072  5.00251072  5.0095526   5.          7.94023439  5.00251072
  5.00653251  5.0045209   5.00804215]"
18,3654,10,"[ 5.         10.         10.          5.37004076 10.         10.
 10.         10.         10.         10.         10.         10.        ]"
19,4602,10,"[ 5.03102753  5.0163328  10.          5.01460905  5.01288637  5.0085843
  5.00514741  5.01460905  5.01719507  5.00686533  5.00514741  5.00686533
  5.01460905  5.01547079  5.00514741  8.4677952   8.27801942  5.00514741
  5.01288637  5.01288637  5.01288637  5.00514741  5.00514741  7.90640768
  5.0085843   5.01288637  5.01547079  9.86693062  5.00686533  5.01288637
  5.0163328   5.00514741  5.01460905  5.01719507  5.          5.00514741
  5.01374758  5.01288637  8.33895127  5.01288637  8.00373385  5.01719507
  7.57297972  5.0085843   5.00085724  5.00686533  5.01288637  5.00085724
  5.          9.86693062  5.0085843   5.01547079  5.0085843   5.12978585
  5.01288637  7.81518468  5.00686533]"
20,3194,10,"[ 5.0973322   5.13680049  9.84040666  5.10170235  5.16107224  5.17214322
  5.          5.13680049  5.17657834  5.1743603   5.06467668  5.0820665
  5.18101731  5.16328451  5.17214322  9.42002955  5.16328451 10.
  5.0973322   7.23726321  5.0973322   9.55132468  5.13900223  7.94625794
  5.14781874  5.15886092  5.1699271   5.15886092  5.07988947  5.17657834
  5.16549775  5.16549775  5.15886092  8.86828114  5.17214322  5.17657834
  8.17468156  5.13680049  5.1082647   5.          5.          7.75167143
  9.76455596  5.16328451  5.0973322   5.          5.45921271  5.17214322]"
21,3007,10,"[ 5.04538397 10.          7.97387588  5.          5.00540677  5.00540677
  5.00540677  5.00180107  9.80893499  5.00180107  9.80893499  5.00360333
  5.00540677  5.00540677  7.77513002  9.80893499  5.18225552  7.97387588
  5.00180107  5.00540677  5.00540677  5.00180107  5.          5.00540677
  5.00180107  5.00360333  5.00540677  5.00360333  5.00540677  5.00360333
  5.00180107  5.00540677  7.83832779  5.          5.00540677  9.80893499
  5.00540677  9.80893499  5.00180107]"
22,627,10,"[ 5.07712398 10.          5.00281538  5.          5.00563388  9.74468825
  5.00563388  7.34556815  5.          5.          9.51368833  5.00563388
  7.40566594  5.00563388  5.00563388  7.46905527  5.00281538  7.40566594
  5.00281538  5.00281538  5.          5.00281538  5.00563388  7.34556815
  9.51368833  5.          5.00281538  5.23541272  9.51368833  5.00563388]"
23,2143,10,"[ 8.3591557   5.07595274  5.0021088   7.08451236  5.07595274  5.04738055
  5.04098131  5.01196559  7.49763533  5.04098131  5.0007028   5.0303399
  5.04098131  5.04809224 10.          5.03104839  5.01196559  5.04098131
  5.0007028   5.01196559  5.07595274  5.04738055  5.05379061  5.04738055
  5.04098131  5.0303399   5.04098131  6.88402867  5.07165323  5.01196559
  5.          5.01196559  5.0303399   5.07595274  5.04098131  9.56773246
  5.04809224  5.04809224  5.0007028   5.04098131  5.01337582  5.01267064
  5.04098131  8.06855025  5.05379061  5.0021088   5.0602115   5.07595274
  5.07165323  5.07236948  5.07595274  5.03104839  5.07595274  5.04809224
  5.19462765  5.07595274  5.04738055  5.05379061  5.05379061  5.01196559
  5.0021088   5.07165323  5.04098131  5.          5.          5.0602115
  5.002812    5.07595274  8.71204379  5.0602115   8.09827384  7.82527281
  5.03175702]"
24,1605,10,"[ 5.04421931  8.51704142  5.03224679  5.02372545  5.03224679  5.0305405
  5.02968773  5.02883521  5.02968773  5.02968773  5.02883521 10.
  8.72516937  8.01165783  5.02798295  5.03224679  5.02372545  5.03224679
  5.0305405   5.02968773  5.02883521  5.02968773  5.0305405   8.51704142
  5.03224679  5.02883521  5.0305405   5.02798295  5.02968773  5.03224679
  5.02968773  7.13071682  7.74846449  5.02798295  5.14536055  8.45269793
  5.02883521  5.02883521  5.00168813  5.01692659  5.02968773  5.00168813
  5.0305405   5.03224679  5.00253258  5.01692659  5.02883521  5.02202422
  5.0305405   5.02968773  5.02968773  5.          5.02968773  5.03224679
  5.03224679  5.0305405   8.390652    7.1794764 ]"
25,1475,10,"[ 5.11187936  5.02236475 10.          5.          5.07115662  5.07115662
  5.05363285  5.07115662  5.07115662  5.02236475  5.07291502  5.2506814
  5.         10.          8.00709525 10.          7.42615811  5.05188649
  5.05188649  5.02236475  5.05188649  5.          5.05363285  5.07291502
  5.02236475  5.07115662 10.          5.         10.          6.88020204
  5.02236475  5.05363285 10.          5.02236475  5.07291502  5.07115662
  6.61206058  5.07115662  5.02236475  5.05188649]"
26,3502,10,"[ 5.01439138  5.00136753  5.00136753  5.00136753  5.          5.00136753
  5.00136753  5.          5.         10.          5.00136753  5.00136753
 10.          5.00136753  5.          5.00136753  5.00136753  5.00136753
  5.00136753  5.00205154  5.          5.00136753  5.          5.00136753
  5.1036741   5.00136753  5.00136753  5.          5.          5.
  8.62090444  5.00136753  5.00136753  8.49920715  5.          5.00136753
  5.00136753  5.00136753  5.00136753  5.00136753  5.          8.62090444
 10.          8.62090444 10.          5.00136753  5.          5.00136753
  8.49920715  5.00136753  5.00136753  5.          5.00136753  5.
  8.62090444  5.00205154  5.00068368  5.00136753  5.          5.
  5.00136753  5.00136753  5.          5.          5.00136753]"
27,2570,10,"[ 5.30118966  5.35791736  5.          5.29609624  5.59246529 10.
  7.69099889  5.30118966  5.30118966  5.30629361  6.85834494  6.96396304
  6.39712037  5.13378326  5.10544248  6.96396304  5.10544248  5.10544248
  6.49460815  6.29261039  6.19089075  6.1568875 ]"
28,1272,10,"[ 5.76938767  5.44929079  5.55003616  5.05875326  5.55003616  5.44929079
  5.5155374   8.78739751  5.55003616  5.          7.65899748  5.12020764
  5.55003616  5.31822433  7.13908218  5.06214003  5.55003616  5.18797373
  5.          5.55003616  5.38413092  5.          5.          5.24986205
  5.382285    5.05875326  6.82754352  6.62052105  5.1914827   6.48315678
  5.          5.19499498  5.06044624  5.24986205  5.24986205  5.55003616
  6.37056473  6.22989771  5.          5.382285    5.55003616 10.
  5.55003616  5.5155374   5.55003616  6.2913278 ]"
29,3912,10,"[ 5.0320775   8.1453373   5.          5.          7.74922446  7.79949404
  5.03611283  5.00132931  5.          5.03611283  5.03476709  5.
  5.02536465  5.02536465  5.00132931  5.03476709  5.00132931 10.
  5.00132931  5.00132931  5.00132931  5.02670595  7.08213065  5.00132931
  5.02536465  5.02268395  5.03476709  7.05471842  5.18809603  5.02536465
  5.03476709  5.02268395  5.00132931  5.00132931  5.00132931 10.
  5.03476709  5.02402399  5.00132931  5.02268395  7.65401892  5.03476709
  7.08213065  5.03476709  7.65401892  5.03476709]"
30,67,9,"[4.63184632 4.63916661 4.70550299 4.70735738 4.70550299 4.58088455
 4.68514658 4.68514658 4.67960815 4.63184632 4.58088455 4.6832998
 4.67960815 9.         4.6832998  4.67039008 4.63184632 4.5
 4.70735738 4.67223243 4.67960815 4.6832998  4.67223243 4.58088455
 4.99479682 4.5        8.43404194 8.16964238 4.65016588 4.67960815
 4.6832998  4.63184632 4.67960815 4.67960815 7.56799735 4.70735738
 4.63184632 4.70735738 4.67039008 4.6832998  4.67039008 4.5
 7.82468902 4.67223243 4.67039008 4.67960815 4.67960815 6.52101087
 4.65016588 8.35431217 4.65200129 7.03984056 7.66515133 4.65016588]"
31,652,10,"[ 5.         10.         10.         10.         10.         10.
  5.37004076 10.         10.         10.         10.         10.        ]"
32,1684,10,"[ 5.01689307  8.68234579  5.02902053  5.01084842  5.01689307  5.01810353
  5.01084842  5.1134775   5.01870894  5.          5.01689307  5.
 10.          8.5640573   5.01084842  5.01689307  5.          5.01870894
  5.01810353  5.01689307  5.          5.01689307  8.06979069  5.01084842
  5.01689307  5.01689307  5.01689307  5.          5.01689307  8.5640573
  5.          5.01689307  7.45566029  8.5640573   5.          5.01689307
  5.01689307  5.01810353  5.01870894  5.01810353  5.01931449  5.01749824
  5.01689307  5.         10.          5.01689307  5.01810353  5.01870894
  5.01810353  5.01689307  5.          5.01689307  5.01689307  5.01810353
  5.01931449  5.01084842  5.         10.          5.01810353  5.01084842
  5.01084842  5.01689307  5.01689307  5.01810353  8.68234579  5.01084842
  5.01870894  5.01810353  5.01810353]"
33,3623,10,"[10.          5.04007042  5.02400299  8.83142615  5.03203015  5.0119868
  5.03203015  5.00798794  9.20663267  9.04758915  7.84467737  5.01598893
  5.06022863  8.83142615  5.43316085  5.06831498  5.03203015  5.07236311
  9.12549805  8.83142615  8.6383704   5.01598893  5.00798794  5.07641454
  5.06022863  5.01598893  8.9727201   5.02400299  5.01999432  5.00798794
  5.06022863  5.01999432  5.          5.00399234  5.07641454]"
34,2978,10,"[ 5.01088131  5.00260764  5.00260764  5.          5.00347739  5.00304248
  5.00260764  5.00260764  5.00347739  5.00260764  9.8078771   5.00347739
  5.00304248  5.00347739  5.00260764  5.00304248 10.          5.00260764
  5.00260764  5.00260764  5.00260764  5.          5.00260764  5.00260764
  8.66713389  5.00260764  5.00260764  5.00347739  5.00260764  5.00347739
  5.00347739  5.00434742  5.00260764  5.00260764  5.00347739  5.00260764
  5.00260764  5.00260764  8.27446724  5.00260764  5.00347739  8.56060222
  5.00260764  5.00391237  5.00347739  5.00260764  5.00260764  5.00260764
  5.00260764  5.00260764  5.00260764  5.00260764  5.          5.00260764
  5.00260764  5.00391237  5.00347739  5.00260764  5.00260764  5.00260764
  5.08153728  5.00347739  8.56060222  5.00260764  5.          5.00347739
  8.56060222  5.00260764  8.66713389  5.00347739  8.56060222  5.00260764
  5.00260764  5.00260764  5.00260764  5.00260764  5.00260764  8.56060222
  5.00260764  5.        ]"
35,5662,10,"[ 5.10340628  5.03403005  5.08938909  5.05465741  5.36833899  5.09989528
  5.          7.3937104   6.20381117  7.03180486  5.01016348  5.03060748
  5.08938909  5.08938909  7.0702782   6.83109439  5.01016348  7.77684696
  5.05120855  5.03060748  5.03060748  6.994912    5.09288669  6.60231999
  6.21472904  5.044324   10.          5.04088831]"
36,1138,10,"[ 5.         10.         10.         10.         10.         10.
  5.37004076 10.         10.         10.         10.         10.        ]"
37,4284,10,"[ 5.11367873  5.03343696  5.12235463  5.03343696  5.12235463  5.12235463
  5.06899852  5.12235463  5.10675751  7.41282319  5.0707036   5.10675751
  7.5404448   5.12235463  6.61480142  7.96460367  5.06899852  5.0707036
  5.05370068  6.46777301  5.03511981  5.12235463  5.12235463  5.05370068
  5.30168973  6.24153992 10.          5.06899852  5.03343696  5.03343696
 10.          6.82223823  5.06899852 10.          5.03343696  5.06899852
  5.12235463  5.12235463  5.          5.00166194]"
38,2808,10,"[ 5.02154092  5.01382927  5.01382927  5.01382927  5.00255597  5.0122894
  5.0122894   5.01331589  5.00255597  5.          5.0128026   5.0128026
  5.0128026   5.0122894   8.29348872  5.00255597  5.0122894   5.0128026
  5.0122894   5.01331589  5.          5.0122894  10.          5.01382927
  5.00921213  5.          5.0128026   5.0128026   5.0122894   5.
  5.01382927  5.00255597  5.0122894   5.00255597  5.00869957  8.64415567
  5.01382927  5.01382927  5.01382927  5.0128026   8.64415567  5.01331589
  5.01382927  5.0122894   5.0122894   5.          5.00921213  5.0128026
  5.          8.64415567  5.          5.00921213  5.01331589  8.75820289
  5.01382927  5.0122894   5.00972478  8.81788565  5.          5.00921213
  5.01382927  5.0122894   5.0122894   7.82580405  5.0122894   7.66773297
  5.00921213  5.          8.64415567  5.01382927  5.10032792  5.0122894
  5.0128026   5.01382927  5.00921213]"
39,5097,10,"[ 5.11793592  5.06288156 10.          7.56476186  5.07198255  7.7353988
  5.0765442   5.02229289  7.51277132  5.0560753  10.          5.0765442
  5.          5.0765442   5.0560753   5.02901632  7.93184179  6.88047603
  5.06970452  5.03800654  6.6263865   5.0560753   5.06742834  5.0560753
  5.02229289  7.41523055  5.00444403  5.0560753   7.41523055  5.28481173
  5.0111237   5.06970452  5.0560753   5.0560753   5.00222111]"
40,2168,10,"[ 5.09850361  5.08184121  5.08184121  5.09394948  5.08637567  8.03170912
  5.08335188  5.09394948  5.09394948  5.08184121  5.08184121  8.09527412
  5.08184121  5.09394948  5.05778125  7.60664361 10.          6.9684642
  5.          5.09394948  5.0562844   5.08184121  6.59456353  5.08184121
  6.37140835  5.00440157  5.02651687  5.09394948  7.60664361  5.05329314
  5.09394948  5.09394948  7.60664361  5.00733992 10.          5.08184121
  5.08184121  5.02799761  5.08335188  5.05478837  5.          5.09394948
  5.25942952]"
41,1735,10,"[ 5.10350759  5.02785401 10.          5.         10.          5.
 10.          5.02785401  5.02785401  5.          5.28128793 10.
 10.          5.          5.02785401  5.          5.          5.02785401
  5.02785401 10.          5.         10.          7.74487771  5.02785401
  5.         10.          5.02785401  5.02785401  7.22649726  5.02785401]"
42,139,10,"[ 5.16051522  5.15980136  9.91843664  5.15980136  5.10596     5.27363019
  5.15908764  5.15980136  5.05361694  9.91843664  5.05292428  5.
  9.83950974  5.15980136  5.15980136  5.11652239  5.11652239  7.49436523
  5.06402335  5.10666318  5.15980136  5.          5.          5.06402335
  5.15980136  5.10596     5.15980136  5.06402335  5.15980136  5.05292428
  5.16051522  5.15908764  5.          6.14707033  5.16051522  5.05292428
  5.15908764  5.01229961  7.23488669  5.11652239  5.10596     5.15908764
  5.10596     5.          5.01229961  5.15980136  5.15908764  5.05292428
  5.05361694  6.60114709  5.15908764  5.15980136  5.15980136  5.15980136
  5.10596     5.          5.15908764  5.15980136  6.49395028  5.06471821
  5.10596     6.21013992  5.10596     5.10596     5.15980136  5.
  5.05292428  5.          5.11652239 10.          5.15908764]"
43,2504,10,"[ 5.0521475   5.0951049   5.05716657  5.09765275  5.          7.80895947
  5.03964006  5.05716657 10.          5.05716657  5.04713763  5.10531035
  5.06723242  5.04463615  6.92212801  6.95192122  5.05716657  7.08220052
 10.          5.05716657  5.05716657  6.5023005   5.04463615  5.32024491
  6.86549309  5.04463615  7.27509399  5.05716657  5.05716657  5.04964141
  5.04463615  5.0951049   7.23342191]"
44,3941,10,"[ 5.06066117  5.          5.03394489  5.02006083  9.65783609  5.03774456
  5.02383992  5.03394489  5.03394489 10.          5.          5.0225796
  7.32772172  5.02383992  5.02383992  5.          7.87176099  5.0225796
  5.03394489  8.06812858  5.          6.83006312  5.          5.03394489
  5.02510086  5.          9.50328795  7.45412907  5.0225796   5.03774456
  5.          5.03394489  5.02510086  5.          6.65572703  5.03901237
  5.17434232  9.50328795  5.03394489  5.02131991  5.          5.02131991
  5.02006083  5.03774456  5.03774456]"
45,4512,10,"[ 5.1146761   5.49608018  5.35592103  5.6306599   5.18971558  5.6306599
  5.62159068  9.79702188  6.14177681  5.36024882  5.47837045  8.48106974
  5.61706131  5.24032404  7.49282595  7.05591174  5.22762796  7.39574959
  5.19391507  5.18551932  5.          7.83517606  5.61706131 10.
  5.19811781  5.61706131  5.01216855  5.016231    8.39983026  5.2023238
  7.07748779  7.24886333  5.47837045  5.          5.18971558  5.47837045]"
46,4661,10,"[10.          8.78337448  5.          5.0396395   5.          5.00123304
  5.06335448  7.98446966  5.06210298  5.0396395   5.06335448  5.00740371
  5.04088432  5.00123304  5.04088432  5.00123304  5.01729589  5.06210298
  5.00740371  5.06335448  5.01605808  5.06210298  5.06335448 10.
  7.65257614  5.23446561  5.00740371  5.06210298  5.06210298  5.06335448
  5.06210298  5.04088432  9.24134102  5.06210298  5.0396395   5.06335448
  8.83505163  5.          5.0396395   7.80832282  5.06210298  5.04088432
  5.00493434  5.06210298  5.06210298  5.04960843  5.01605808  5.00863895
  7.80832282  5.06210298  5.06210298  7.47101667  5.06335448  5.06335448
  5.00370021  5.00493434  5.00370021  5.01605808]"
47,1950,10,"[ 5.         10.         10.         10.         10.         10.
 10.         10.         10.         10.         10.          5.37004076]"
48,2406,10,"[ 5.14007807  7.52709544 10.         10.          5.07362264  5.09459626
  5.06914891  5.0991113   5.07362264  5.09459626  5.09459626  5.09459626
  5.09459626  7.52709544  5.07213059  5.04836725  5.10061795  5.09760547
  5.09459626  5.04688885  5.04836725  6.67045893  5.          5.09459626
  5.09610046  6.67045893  5.07213059  5.05280722  5.04836725  7.02910275
  5.06914891  5.04688885  6.27305836  5.27462456  5.07213059  6.97818124
  5.04688885  5.04688885  5.09459626  5.07213059  6.68764699  5.04688885
  5.07213059]"
49,2096,10,"[ 5.12629393  9.42987183  5.04268617  5.          5.0193097   7.4031515
  9.42987183  5.04268617  5.          7.4031515   9.42987183  5.31519913
 10.          5.04268617  7.04314501  5.05052833  9.42987183  6.82140802
  5.02319021  5.04268617  5.05052833  5.05052833  5.02319021  5.04660412
  9.42987183]"
50,5504,10,"[ 5.1901842   5.05098245  5.03391542  5.05179699  5.          5.05098245
  5.03797237  5.02015272  5.03797237  5.0322938   5.05098245  5.04365905
  5.05098245  8.89206712  9.37703298 10.          5.03797237  5.03797237
  5.05179699  5.          9.37703298  5.0444721   8.58368964  5.04365905
  5.          5.05098245  8.32112385  5.05098245  5.03797237  5.05831932
  5.03797237  5.          5.          5.05831932  5.05098245  5.02015272
  5.05831932  5.05831932  5.05098245  7.68026321  5.03391542  5.05098245
  5.03391542  7.34903536  5.03310452  7.87229676  5.05098245  5.02176938
  5.01530669  5.01369266  5.0322938   5.          5.01449959  5.05098245
  5.02176938  5.05098245  5.03797237  5.03797237  5.05831932  5.03797237
  5.          8.58368964  5.          5.          5.          5.05098245
  5.03797237  5.05098245  5.01530669  5.05098245]"
51,3836,10,"[ 5.1505644   5.         10.         10.         10.         10.
  5.          7.34991024 10.          5.          5.          5.
 10.         10.         10.          5.          5.          5.
 10.          5.          5.          5.37926603]"
